movieId,title_clean,title,q
2762,"Sixth Sense, The","Sixth Sense, The (1999)","sixth sense, the"
380,True Lies,True Lies (1994),true lies
32,Twelve Monkeys (a.k.a. 12 Monkeys),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),twelve monkeys (a.k.a. 12 monkeys)
364,"Lion King, The","Lion King, The (1994)","lion king, the"
377,Speed,Speed (1994),speed
1270,Back to the Future,Back to the Future (1985),back to the future
3578,Gladiator,Gladiator (2000),gladiator
4306,Shrek,Shrek (2001),shrek
1580,Men in Black (a.k.a. MIB),Men in Black (a.k.a. MIB) (1997),men in black (a.k.a. mib)
590,Dances with Wolves,Dances with Wolves (1990),dances with wolves
648,Mission: Impossible,Mission: Impossible (1996),mission: impossible
344,Ace Ventura: Pet Detective,Ace Ventura: Pet Detective (1994),ace ventura: pet detective
4226,Memento,Memento (2000),memento
367,"Mask, The","Mask, The (1994)","mask, the"
6539,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl (2003),pirates of the caribbean: the curse of the black pearl
58559,"Dark Knight, The","Dark Knight, The (2008)","dark knight, the"
595,Beauty and the Beast,Beauty and the Beast (1991),beauty and the beast
1214,Alien,Alien (1979),alien
1036,Die Hard,Die Hard (1988),die hard
165,Die Hard: With a Vengeance,Die Hard: With a Vengeance (1995),die hard: with a vengeance
500,Mrs. Doubtfire,Mrs. Doubtfire (1993),mrs. doubtfire
79132,Inception,Inception (2010),inception
1265,Groundhog Day,Groundhog Day (1993),groundhog day
1197,"Princess Bride, The","Princess Bride, The (1987)","princess bride, the"
1704,Good Will Hunting,Good Will Hunting (1997),good will hunting
6377,Finding Nemo,Finding Nemo (2003),finding nemo
316,Stargate,Stargate (1994),stargate
1291,Indiana Jones and the Last Crusade,Indiana Jones and the Last Crusade (1989),indiana jones and the last crusade
2628,Star Wars: Episode I - The Phantom Menace,Star Wars: Episode I - The Phantom Menace (1999),star wars: episode i - the phantom menace
1721,Titanic,Titanic (1997),titanic
153,Batman Forever,Batman Forever (1995),batman forever
1136,Monty Python and the Holy Grail,Monty Python and the Holy Grail (1975),monty python and the holy grail
597,Pretty Woman,Pretty Woman (1990),pretty woman
231,Dumb & Dumber (Dumb and Dumber),Dumb & Dumber (Dumb and Dumber) (1994),dumb & dumber (dumb and dumber)
293,Léon: The Professional (a.k.a. The Professional) (Léon),Léon: The Professional (a.k.a. The Professional) (Léon) (1994),léon: the professional (a.k.a. the professional) (léon)
3793,X-Men,X-Men (2000),x-men
1193,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest (1975),one flew over the cuckoo's nest
4886,"Monsters, Inc.","Monsters, Inc. (2001)","monsters, inc."
10,GoldenEye,GoldenEye (1995),goldeneye
1089,Reservoir Dogs,Reservoir Dogs (1992),reservoir dogs
6874,Kill Bill: Vol. 1,Kill Bill: Vol. 1 (2003),kill bill: vol. 1
1240,"Terminator, The","Terminator, The (1984)","terminator, the"
7361,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind (2004),eternal sunshine of the spotless mind
1221,"Godfather: Part II, The","Godfather: Part II, The (1974)","godfather: part ii, the"
2329,American History X,American History X (1998),american history x
34,Babe,Babe (1995),babe
1213,Goodfellas,Goodfellas (1990),goodfellas
1200,Aliens,Aliens (1986),aliens
8961,"Incredibles, The","Incredibles, The (2004)","incredibles, the"
1682,"Truman Show, The","Truman Show, The (1998)","truman show, the"
541,Blade Runner,Blade Runner (1982),blade runner
4995,"Beautiful Mind, A","Beautiful Mind, A (2001)","beautiful mind, a"
736,Twister,Twister (1996),twister
5349,Spider-Man,Spider-Man (2002),spider-man
1097,E.T. the Extra-Terrestrial,E.T. the Extra-Terrestrial (1982),e.t. the extra-terrestrial
733,"Rock, The","Rock, The (1996)","rock, the"
2683,Austin Powers: The Spy Who Shagged Me,Austin Powers: The Spy Who Shagged Me (1999),austin powers: the spy who shagged me
4973,"Amelie (Fabuleux destin d'Amélie Poulain, Le)","Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)","amelie (fabuleux destin d'amélie poulain, le)"
5445,Minority Report,Minority Report (2002),minority report
2716,Ghostbusters (a.k.a. Ghost Busters),Ghostbusters (a.k.a. Ghost Busters) (1984),ghostbusters (a.k.a. ghost busters)
1206,"Clockwork Orange, A","Clockwork Orange, A (1971)","clockwork orange, a"
1073,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory (1971),willy wonka & the chocolate factory
4963,Ocean's Eleven,Ocean's Eleven (2001),ocean's eleven
33794,Batman Begins,Batman Begins (2005),batman begins
586,Home Alone,Home Alone (1990),home alone
1527,"Fifth Element, The","Fifth Element, The (1997)","fifth element, the"
208,Waterworld,Waterworld (1995),waterworld
587,Ghost,Ghost (1990),ghost
5989,Catch Me If You Can,Catch Me If You Can (2002),catch me if you can
1968,"Breakfast Club, The","Breakfast Club, The (1985)","breakfast club, the"
185,"Net, The","Net, The (1995)","net, the"
5418,"Bourne Identity, The","Bourne Identity, The (2002)","bourne identity, the"
3147,"Green Mile, The","Green Mile, The (1999)","green mile, the"
7438,Kill Bill: Vol. 2,Kill Bill: Vol. 2 (2004),kill bill: vol. 2
349,Clear and Present Danger,Clear and Present Danger (1994),clear and present danger
3996,"Crouching Tiger, Hidden Dragon (Wo hu cang long)","Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)","crouching tiger, hidden dragon (wo hu cang long)"
2,Jumanji,Jumanji (1995),jumanji
253,Interview with the Vampire: The Vampire Chronicles,Interview with the Vampire: The Vampire Chronicles (1994),interview with the vampire: the vampire chronicles
4878,Donnie Darko,Donnie Darko (2001),donnie darko
2918,Ferris Bueller's Day Off,Ferris Bueller's Day Off (1986),ferris bueller's day off
1258,"Shining, The","Shining, The (1980)","shining, the"
924,2001: A Space Odyssey,2001: A Space Odyssey (1968),2001: a space odyssey
329,Star Trek: Generations,Star Trek: Generations (1994),star trek: generations
2115,Indiana Jones and the Temple of Doom,Indiana Jones and the Temple of Doom (1984),indiana jones and the temple of doom
4896,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),harry potter and the sorcerer's stone (a.k.a. harry potter and the philosopher's stone)
1208,Apocalypse Now,Apocalypse Now (1979),apocalypse now
48516,"Departed, The","Departed, The (2006)","departed, the"
1732,"Big Lebowski, The","Big Lebowski, The (1998)","big lebowski, the"
539,Sleepless in Seattle,Sleepless in Seattle (1993),sleepless in seattle
68954,Up,Up (2009),up
1923,There's Something About Mary,There's Something About Mary (1998),there's something about mary
39,Clueless,Clueless (1995),clueless
223,Clerks,Clerks (1994),clerks
60069,WALL·E,WALL·E (2008),wall·e
111,Taxi Driver,Taxi Driver (1976),taxi driver
357,Four Weddings and a Funeral,Four Weddings and a Funeral (1994),four weddings and a funeral
2706,American Pie,American Pie (1999),american pie
161,Crimson Tide,Crimson Tide (1995),crimson tide
6,Heat,Heat (1995),heat
1222,Full Metal Jacket,Full Metal Jacket (1987),full metal jacket
5816,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets (2002),harry potter and the chamber of secrets
778,Trainspotting,Trainspotting (1996),trainspotting
434,Cliffhanger,Cliffhanger (1993),cliffhanger
454,"Firm, The","Firm, The (1993)","firm, the"
292,Outbreak,Outbreak (1995),outbreak
44191,V for Vendetta,V for Vendetta (2006),v for vendetta
912,Casablanca,Casablanca (1942),casablanca
4022,Cast Away,Cast Away (2000),cast away
1517,Austin Powers: International Man of Mystery,Austin Powers: International Man of Mystery (1997),austin powers: international man of mystery
104,Happy Gilmore,Happy Gilmore (1996),happy gilmore
2997,Being John Malkovich,Being John Malkovich (1999),being john malkovich
339,While You Were Sleeping,While You Were Sleeping (1995),while you were sleeping
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),dr. strangelove or: how i learned to stop worrying and love the bomb
72998,Avatar,Avatar (2009),avatar
2987,Who Framed Roger Rabbit?,Who Framed Roger Rabbit? (1988),who framed roger rabbit?
1617,L.A. Confidential,L.A. Confidential (1997),l.a. confidential
3114,Toy Story 2,Toy Story 2 (1999),toy story 2
3949,Requiem for a Dream,Requiem for a Dream (2000),requiem for a dream
1784,As Good as It Gets,As Good as It Gets (1997),as good as it gets
6365,"Matrix Reloaded, The","Matrix Reloaded, The (2003)","matrix reloaded, the"
1961,Rain Man,Rain Man (1988),rain man
4027,"O Brother, Where Art Thou?","O Brother, Where Art Thou? (2000)","o brother, where art thou?"
2502,Office Space,Office Space (1999),office space
59315,Iron Man,Iron Man (2008),iron man
4011,Snatch,Snatch (2000),snatch
551,"Nightmare Before Christmas, The","Nightmare Before Christmas, The (1993)","nightmare before christmas, the"
8368,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban (2004),harry potter and the prisoner of azkaban
8360,Shrek 2,Shrek 2 (2004),shrek 2
288,Natural Born Killers,Natural Born Killers (1994),natural born killers
1917,Armageddon,Armageddon (1998),armageddon
5378,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode II - Attack of the Clones (2002),star wars: episode ii - attack of the clones
919,"Wizard of Oz, The","Wizard of Oz, The (1939)","wizard of oz, the"
2396,Shakespeare in Love,Shakespeare in Love (1998),shakespeare in love
2355,"Bug's Life, A","Bug's Life, A (1998)","bug's life, a"
3948,Meet the Parents,Meet the Parents (2000),meet the parents
1356,Star Trek: First Contact,Star Trek: First Contact (1996),star trek: first contact
1387,Jaws,Jaws (1975),jaws
2174,Beetlejuice,Beetlejuice (1988),beetlejuice
1259,Stand by Me,Stand by Me (1986),stand by me
2797,Big,Big (1988),big
1610,"Hunt for Red October, The","Hunt for Red October, The (1990)","hunt for red october, the"
48780,"Prestige, The","Prestige, The (2006)","prestige, the"
1080,Monty Python's Life of Brian,Monty Python's Life of Brian (1979),monty python's life of brian
21,Get Shorty,Get Shorty (1995),get shorty
19,Ace Ventura: When Nature Calls,Ace Ventura: When Nature Calls (1995),ace ventura: when nature calls
2324,Life Is Beautiful (La Vita è bella),Life Is Beautiful (La Vita è bella) (1997),life is beautiful (la vita è bella)
68157,Inglourious Basterds,Inglourious Basterds (2009),inglourious basterds
2916,Total Recall,Total Recall (1990),total recall
2012,Back to the Future Part III,Back to the Future Part III (1990),back to the future part iii
2011,Back to the Future Part II,Back to the Future Part II (1989),back to the future part ii
2617,"Mummy, The","Mummy, The (1999)","mummy, the"
2791,Airplane!,Airplane! (1980),airplane!
5618,Spirited Away (Sen to Chihiro no kamikakushi),Spirited Away (Sen to Chihiro no kamikakushi) (2001),spirited away (sen to chihiro no kamikakushi)
141,"Birdcage, The","Birdcage, The (1996)","birdcage, the"
1653,Gattaca,Gattaca (1997),gattaca
1391,Mars Attacks!,Mars Attacks! (1996),mars attacks!
1246,Dead Poets Society,Dead Poets Society (1989),dead poets society
1393,Jerry Maguire,Jerry Maguire (1996),jerry maguire
5218,Ice Age,Ice Age (2002),ice age
1307,When Harry Met Sally...,When Harry Met Sally... (1989),when harry met sally...
410,Addams Family Values,Addams Family Values (1993),addams family values
1220,"Blues Brothers, The","Blues Brothers, The (1980)","blues brothers, the"
95,Broken Arrow,Broken Arrow (1996),broken arrow
904,Rear Window,Rear Window (1954),rear window
32587,Sin City,Sin City (2005),sin city
1219,Psycho,Psycho (1960),psycho
1101,Top Gun,Top Gun (1986),top gun
3897,Almost Famous,Almost Famous (2000),almost famous
16,Casino,Casino (1995),casino
788,"Nutty Professor, The","Nutty Professor, The (1996)","nutty professor, the"
1584,Contact,Contact (1997),contact
54286,"Bourne Ultimatum, The","Bourne Ultimatum, The (2007)","bourne ultimatum, the"
442,Demolition Man,Demolition Man (1993),demolition man
48394,"Pan's Labyrinth (Laberinto del fauno, El)","Pan's Labyrinth (Laberinto del fauno, El) (2006)","pan's labyrinth (laberinto del fauno, el)"
49272,Casino Royale,Casino Royale (2006),casino royale
317,"Santa Clause, The","Santa Clause, The (1994)","santa clause, the"
300,Quiz Show,Quiz Show (1994),quiz show
1676,Starship Troopers,Starship Troopers (1997),starship troopers
2291,Edward Scissorhands,Edward Scissorhands (1990),edward scissorhands
62,Mr. Holland's Opus,Mr. Holland's Opus (1995),mr. holland's opus
51662,300,300 (2007),300
6934,"Matrix Revolutions, The","Matrix Revolutions, The (2003)","matrix revolutions, the"
1247,"Graduate, The","Graduate, The (1967)","graduate, the"
3052,Dogma,Dogma (1999),dogma
8636,Spider-Man 2,Spider-Man 2 (2004),spider-man 2
33493,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode III - Revenge of the Sith (2005),star wars: episode iii - revenge of the sith
3751,Chicken Run,Chicken Run (2000),chicken run
1573,Face/Off,Face/Off (1997),face/off
8874,Shaun of the Dead,Shaun of the Dead (2004),shaun of the dead
3623,Mission: Impossible II,Mission: Impossible II (2000),mission: impossible ii
46578,Little Miss Sunshine,Little Miss Sunshine (2006),little miss sunshine
594,Snow White and the Seven Dwarfs,Snow White and the Seven Dwarfs (1937),snow white and the seven dwarfs
337,What's Eating Gilbert Grape,What's Eating Gilbert Grape (1993),what's eating gilbert grape
1625,"Game, The","Game, The (1997)","game, the"
25,Leaving Las Vegas,Leaving Las Vegas (1995),leaving las vegas
2700,"South Park: Bigger, Longer and Uncut","South Park: Bigger, Longer and Uncut (1999)","south park: bigger, longer and uncut"
91529,"Dark Knight Rises, The","Dark Knight Rises, The (2012)","dark knight rises, the"
6333,X2: X-Men United,X2: X-Men United (2003),x2: x-men united
440,Dave,Dave (1993),dave
69122,"Hangover, The","Hangover, The (2009)","hangover, the"
1225,Amadeus,Amadeus (1984),amadeus
2692,Run Lola Run (Lola rennt),Run Lola Run (Lola rennt) (1998),run lola run (lola rennt)
3481,High Fidelity,High Fidelity (2000),high fidelity
6016,City of God (Cidade de Deus),City of God (Cidade de Deus) (2002),city of god (cidade de deus)
8665,"Bourne Supremacy, The","Bourne Supremacy, The (2004)","bourne supremacy, the"
3175,Galaxy Quest,Galaxy Quest (1999),galaxy quest
2000,Lethal Weapon,Lethal Weapon (1987),lethal weapon
35836,"40-Year-Old Virgin, The","40-Year-Old Virgin, The (2005)","40-year-old virgin, the"
368,Maverick,Maverick (1994),maverick
6711,Lost in Translation,Lost in Translation (2003),lost in translation
1485,Liar Liar,Liar Liar (1997),liar liar
109487,Interstellar,Interstellar (2014),interstellar
3994,Unbreakable,Unbreakable (2000),unbreakable
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il)","Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)","good, the bad and the ugly, the (buono, il brutto, il cattivo, il)"
3977,Charlie's Angels,Charlie's Angels (2000),charlie's angels
50872,Ratatouille,Ratatouille (2007),ratatouille
45722,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest (2006),pirates of the caribbean: dead man's chest
1079,"Fish Called Wanda, A","Fish Called Wanda, A (1988)","fish called wanda, a"
40815,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire (2005),harry potter and the goblet of fire
1028,Mary Poppins,Mary Poppins (1964),mary poppins
63082,Slumdog Millionaire,Slumdog Millionaire (2008),slumdog millionaire
6373,Bruce Almighty,Bruce Almighty (2003),bruce almighty
99114,Django Unchained,Django Unchained (2012),django unchained
474,In the Line of Fire,In the Line of Fire (1993),in the line of fire
4034,Traffic,Traffic (2000),traffic
2985,RoboCop,RoboCop (1987),robocop
11,"American President, The","American President, The (1995)","american president, the"
3408,Erin Brockovich,Erin Brockovich (2000),erin brockovich
235,Ed Wood,Ed Wood (1994),ed wood
1407,Scream,Scream (1996),scream
923,Citizen Kane,Citizen Kane (1941),citizen kane
1278,Young Frankenstein,Young Frankenstein (1974),young frankenstein
520,Robin Hood: Men in Tights,Robin Hood: Men in Tights (1993),robin hood: men in tights
89745,"Avengers, The","Avengers, The (2012)","avengers, the"
7147,Big Fish,Big Fish (2003),big fish
266,Legends of the Fall,Legends of the Fall (1994),legends of the fall
3753,"Patriot, The","Patriot, The (2000)","patriot, the"
1370,Die Hard 2,Die Hard 2 (1990),die hard 2
1380,Grease,Grease (1978),grease
48,Pocahontas,Pocahontas (1995),pocahontas
2054,"Honey, I Shrunk the Kids","Honey, I Shrunk the Kids (1989)","honey, i shrunk the kids"
4979,"Royal Tenenbaums, The","Royal Tenenbaums, The (2001)","royal tenenbaums, the"
1544,"Lost World: Jurassic Park, The","Lost World: Jurassic Park, The (1997)","lost world: jurassic park, the"
2353,Enemy of the State,Enemy of the State (1998),enemy of the state
2081,"Little Mermaid, The","Little Mermaid, The (1989)","little mermaid, the"
17,Sense and Sensibility,Sense and Sensibility (1995),sense and sensibility
36,Dead Man Walking,Dead Man Walking (1995),dead man walking
2542,"Lock, Stock & Two Smoking Barrels","Lock, Stock & Two Smoking Barrels (1998)","lock, stock & two smoking barrels"
74458,Shutter Island,Shutter Island (2010),shutter island
4262,Scarface,Scarface (1983),scarface
508,Philadelphia,Philadelphia (1993),philadelphia
163,Desperado,Desperado (1995),desperado
6863,School of Rock,School of Rock (2003),school of rock
1288,This Is Spinal Tap,This Is Spinal Tap (1984),this is spinal tap
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),borat: cultural learnings of america for make benefit glorious nation of kazakhstan
653,Dragonheart,Dragonheart (1996),dragonheart
5481,Austin Powers in Goldmember,Austin Powers in Goldmember (2002),austin powers in goldmember
555,True Romance,True Romance (1993),true romance
553,Tombstone,Tombstone (1993),tombstone
4246,Bridget Jones's Diary,Bridget Jones's Diary (2001),bridget jones's diary
70286,District 9,District 9 (2009),district 9
56367,Juno,Juno (2007),juno
2194,"Untouchables, The","Untouchables, The (1987)","untouchables, the"
4025,Miss Congeniality,Miss Congeniality (2000),miss congeniality
4447,Legally Blonde,Legally Blonde (2001),legally blonde
1234,"Sting, The","Sting, The (1973)","sting, the"
2710,"Blair Witch Project, The","Blair Witch Project, The (1999)","blair witch project, the"
55820,No Country for Old Men,No Country for Old Men (2007),no country for old men
786,Eraser,Eraser (1996),eraser
1035,"Sound of Music, The","Sound of Music, The (1965)","sound of music, the"
353,"Crow, The","Crow, The (1994)","crow, the"
1954,Rocky,Rocky (1976),rocky
48774,Children of Men,Children of Men (2006),children of men
1090,Platoon,Platoon (1986),platoon
435,Coneheads,Coneheads (1993),coneheads
2657,"Rocky Horror Picture Show, The","Rocky Horror Picture Show, The (1975)","rocky horror picture show, the"
5502,Signs,Signs (2002),signs
7143,"Last Samurai, The","Last Samurai, The (2003)","last samurai, the"
3671,Blazing Saddles,Blazing Saddles (1974),blazing saddles
1374,Star Trek II: The Wrath of Khan,Star Trek II: The Wrath of Khan (1982),star trek ii: the wrath of khan
173,Judge Dredd,Judge Dredd (1995),judge dredd
1127,"Abyss, The","Abyss, The (1989)","abyss, the"
41566,"Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The","Chronicles of Narnia: The Lion, the Witch and the Wardrobe, The (2005)","chronicles of narnia: the lion, the witch and the wardrobe, the"
158,Casper,Casper (1995),casper
3081,Sleepy Hollow,Sleepy Hollow (1999),sleepy hollow
1304,Butch Cassidy and the Sundance Kid,Butch Cassidy and the Sundance Kid (1969),butch cassidy and the sundance kid
56174,I Am Legend,I Am Legend (2007),i am legend
3421,Animal House,Animal House (1978),animal house
3527,Predator,Predator (1987),predator
5459,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2),Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) (2002),men in black ii (a.k.a. miib) (a.k.a. mib 2)
552,"Three Musketeers, The","Three Musketeers, The (1993)","three musketeers, the"
3253,Wayne's World,Wayne's World (1992),wayne's world
51255,Hot Fuzz,Hot Fuzz (2007),hot fuzz
3717,Gone in 60 Seconds,Gone in 60 Seconds (2000),gone in 60 seconds
2321,Pleasantville,Pleasantville (1998),pleasantville
30793,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory (2005),charlie and the chocolate factory
8644,"I, Robot","I, Robot (2004)","i, robot"
509,"Piano, The","Piano, The (1993)","piano, the"
2640,Superman,Superman (1978),superman
466,Hot Shots! Part Deux,Hot Shots! Part Deux (1993),hot shots! part deux
903,Vertigo,Vertigo (1958),vertigo
5299,My Big Fat Greek Wedding,My Big Fat Greek Wedding (2002),my big fat greek wedding
596,Pinocchio,Pinocchio (1940),pinocchio
2006,"Mask of Zorro, The","Mask of Zorro, The (1998)","mask of zorro, the"
3471,Close Encounters of the Third Kind,Close Encounters of the Third Kind (1977),close encounters of the third kind
1377,Batman Returns,Batman Returns (1992),batman returns
3535,American Psycho,American Psycho (2000),american psycho
6378,"Italian Job, The","Italian Job, The (2003)","italian job, the"
6942,Love Actually,Love Actually (2003),love actually
2302,My Cousin Vinny,My Cousin Vinny (1992),my cousin vinny
1500,Grosse Pointe Blank,Grosse Pointe Blank (1997),grosse pointe blank
1552,Con Air,Con Air (1997),con air
420,Beverly Hills Cop III,Beverly Hills Cop III (1994),beverly hills cop iii
68358,Star Trek,Star Trek (2009),star trek
112852,Guardians of the Galaxy,Guardians of the Galaxy (2014),guardians of the galaxy
1252,Chinatown,Chinatown (1974),chinatown
33679,Mr. & Mrs. Smith,Mr. & Mrs. Smith (2005),mr. & mrs. smith
1199,Brazil,Brazil (1985),brazil
3033,Spaceballs,Spaceballs (1987),spaceballs
1608,Air Force One,Air Force One (1997),air force one
69844,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince (2009),harry potter and the half-blood prince
2167,Blade,Blade (1998),blade
1394,Raising Arizona,Raising Arizona (1987),raising arizona
953,It's a Wonderful Life,It's a Wonderful Life (1946),it's a wonderful life
6502,28 Days Later,28 Days Later (2002),28 days later
5669,Bowling for Columbine,Bowling for Columbine (2002),bowling for columbine
370,Naked Gun 33 1/3: The Final Insult,Naked Gun 33 1/3: The Final Insult (1994),naked gun 33 1/3: the final insult
54001,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix (2007),harry potter and the order of the phoenix
708,"Truth About Cats & Dogs, The","Truth About Cats & Dogs, The (1996)","truth about cats & dogs, the"
34162,Wedding Crashers,Wedding Crashers (2005),wedding crashers
1230,Annie Hall,Annie Hall (1977),annie hall
81845,"King's Speech, The","King's Speech, The (2010)","king's speech, the"
1207,To Kill a Mockingbird,To Kill a Mockingbird (1962),to kill a mockingbird
73017,Sherlock Holmes,Sherlock Holmes (2009),sherlock holmes
1203,12 Angry Men,12 Angry Men (1957),12 angry men
160,Congo,Congo (1995),congo
1276,Cool Hand Luke,Cool Hand Luke (1967),cool hand luke
8641,Anchorman: The Legend of Ron Burgundy,Anchorman: The Legend of Ron Burgundy (2004),anchorman: the legend of ron burgundy
2470,Crocodile Dundee,Crocodile Dundee (1986),crocodile dundee
2268,"Few Good Men, A","Few Good Men, A (1992)","few good men, a"
80463,"Social Network, The","Social Network, The (2010)","social network, the"
908,North by Northwest,North by Northwest (1959),north by northwest
350,"Client, The","Client, The (1994)","client, the"
2005,"Goonies, The","Goonies, The (1985)","goonies, the"
2529,Planet of the Apes,Planet of the Apes (1968),planet of the apes
1148,Wallace & Gromit: The Wrong Trousers,Wallace & Gromit: The Wrong Trousers (1993),wallace & gromit: the wrong trousers
2599,Election,Election (1999),election
1777,"Wedding Singer, The","Wedding Singer, The (1998)","wedding singer, the"
2395,Rushmore,Rushmore (1998),rushmore
1641,"Full Monty, The","Full Monty, The (1997)","full monty, the"
53125,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End (2007),pirates of the caribbean: at world's end
2671,Notting Hill,Notting Hill (1999),notting hill
4370,A.I. Artificial Intelligence,A.I. Artificial Intelligence (2001),a.i. artificial intelligence
1302,Field of Dreams,Field of Dreams (1989),field of dreams
2804,"Christmas Story, A","Christmas Story, A (1983)","christmas story, a"
70,From Dusk Till Dawn,From Dusk Till Dawn (1996),from dusk till dawn
5956,Gangs of New York,Gangs of New York (2002),gangs of new york
78499,Toy Story 3,Toy Story 3 (2010),toy story 3
4720,"Others, The","Others, The (2001)","others, the"
432,City Slickers II: The Legend of Curly's Gold,City Slickers II: The Legend of Curly's Gold (1994),city slickers ii: the legend of curly's gold
2080,Lady and the Tramp,Lady and the Tramp (1955),lady and the tramp
4308,Moulin Rouge,Moulin Rouge (2001),moulin rouge
54503,Superbad,Superbad (2007),superbad
2406,Romancing the Stone,Romancing the Stone (1984),romancing the stone
59784,Kung Fu Panda,Kung Fu Panda (2008),kung fu panda
784,"Cable Guy, The","Cable Guy, The (1996)","cable guy, the"
168,First Knight,First Knight (1995),first knight
106782,"Wolf of Wall Street, The","Wolf of Wall Street, The (2013)","wolf of wall street, the"
4018,What Women Want,What Women Want (2000),what women want
122904,Deadpool,Deadpool (2016),deadpool
2572,10 Things I Hate About You,10 Things I Hate About You (1999),10 things i hate about you
91500,The Hunger Games,The Hunger Games (2012),the hunger games
4816,Zoolander,Zoolander (2001),zoolander
7,Sabrina,Sabrina (1995),sabrina
2947,Goldfinger,Goldfinger (1964),goldfinger
2699,Arachnophobia,Arachnophobia (1990),arachnophobia
2712,Eyes Wide Shut,Eyes Wide Shut (1999),eyes wide shut
3489,Hook,Hook (1991),hook
2701,Wild Wild West,Wild Wild West (1999),wild wild west
485,Last Action Hero,Last Action Hero (1993),last action hero
